run,video,detector,conf,frame_index,time_s,count
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,75,375,21
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,76,380,25
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,77,385,23
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,78,390,17
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,79,395,22
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,80,400,17
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,81,405,12
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,82,410,12
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,83,415,18
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,84,420,12
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,85,425,14
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,86,430,12
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,87,435,7
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,88,440,8
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,89,445,15
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,90,450,15
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,91,455,16
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,92,460,14
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,93,465,14
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,94,470,18
